n_name;customer_position;o_custkey;Total price
ALGERIA                  ;1;134380;6291610,15
ALGERIA                  ;2;145270;5927743,43
ALGERIA                  ;3;26023;5711312,21
ARGENTINA                ;1;111280;5776853,65
ARGENTINA                ;2;126199;5682036,329999999
ARGENTINA                ;3;15751;5594552,24
BRAZIL                   ;1;95257;6563511,229999999
BRAZIL                   ;2;110407;5679937,730000002
BRAZIL                   ;3;127636;5396888,819999999
CANADA                   ;1;91630;5772680,38
CANADA                   ;2;124720;5582884,53
CANADA                   ;3;85003;5550408,8
EGYPT                    ;1;24970;5715619,789999998
EGYPT                    ;2;31168;5639808,299999999
EGYPT                    ;3;143347;5553546,08
ETHIOPIA                 ;1;131113;6311428,86
ETHIOPIA                 ;2;35398;6024207,39
ETHIOPIA                 ;3;3451;6005657,249999999
FRANCE                   ;1;28180;6058487,2299999995
FRANCE                   ;2;133069;6056425,500000001
FRANCE                   ;3;112753;5973932,109999999
GERMANY                  ;1;56317;6117381,160000001
GERMANY                  ;2;100960;5762664,67
GERMANY                  ;3;47872;5701057,35
INDIA                    ;1;113536;5405533,99
INDIA                    ;2;126850;5318050,1899999995
INDIA                    ;3;10354;5300028,730000001
INDONESIA                ;1;102022;6273788,409999999
INDONESIA                ;2;53302;5875055,880000001
INDONESIA                ;3;69538;5844891,7299999995
IRAN                     ;1;143500;7012696,48
IRAN                     ;2;127213;6116235,31
IRAN                     ;3;61813;5912141,11
IRAQ                     ;1;103834;6306524,23
IRAQ                     ;2;129673;5867729,239999998
IRAQ                     ;3;56053;5808834,66
JAPAN                    ;1;145870;5837667,9399999995
JAPAN                    ;2;67198;5802760,06
JAPAN                    ;3;62845;5585521,12
JORDAN                   ;1;58216;5539060,75
JORDAN                   ;2;41704;5537076,07
JORDAN                   ;3;92215;5470775,5
KENYA                    ;1;87115;6457526,260000002
KENYA                    ;2;31666;5929112,44
KENYA                    ;3;80101;5734450,0600000005
MOROCCO                  ;1;85102;6135483,63
MOROCCO                  ;2;138490;5886668,649999999
MOROCCO                  ;3;31546;5816769,930000001
MOZAMBIQUE               ;1;69682;6287149,419999999
MOZAMBIQUE               ;2;64660;6125248,5200000005
MOZAMBIQUE               ;3;28198;5854681,08
PERU                     ;1;43174;5935907,679999999
PERU                     ;2;137182;5821377,24
PERU                     ;3;6901;5708980,190000001
CHINA                    ;1;98587;6265089,350000001
CHINA                    ;2;148750;6086055,58
CHINA                    ;3;122623;5864263,93
ROMANIA                  ;1;35776;5967477,4799999995
ROMANIA                  ;2;120802;5779238,62
ROMANIA                  ;3;44632;5635228,2
SAUDI ARABIA             ;1;79300;6070254,889999999
SAUDI ARABIA             ;2;55489;5933388,329999999
SAUDI ARABIA             ;3;15004;5854365,120000001
VIETNAM                  ;1;35683;5835945,180000002
VIETNAM                  ;2;29326;5735354,41
VIETNAM                  ;3;101359;5601955,95
RUSSIA                   ;1;42205;6041521,63
RUSSIA                   ;2;53809;5888789,81
RUSSIA                   ;3;103549;5722883,4399999995
UNITED KINGDOM           ;1;20194;6079142,09
UNITED KINGDOM           ;2;67987;6007002,9399999995
UNITED KINGDOM           ;3;33136;5976463,81
UNITED STATES            ;1;57058;5843133,809999999
UNITED STATES            ;2;19885;5834205,430000002
UNITED STATES            ;3;108931;5818624,5299999975
